model,roc_auc,pr_auc,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,average_inference_time_ms,training_time_seconds,total_parameters,quantum_parameters,model_size_mb
Classical,0.9435489021591857,0.6932132240220206,0.2606,0.8524,0.3992,7120,803,49,283,0.29196628709928696,242.86706495285034,500473,0,1.9208955764770508
Hybrid Quantum,0.7284100430498974,0.20205033751119322,0.0411,1.0,0.079,178,7745,0,332,10.844223585704565,3854.864205121994,500573,24,1.922743797302246
